ID,product_name,amount,product_price,bought_date,expire_date
1,orange,5,5,2022-04-08,23-05-2020
2,orange,5,5,2022-04-08,23-05-2020
3,orange,5,5,2022-04-14,23-05-2020
4,orange,5,5,2022-04-14,23-05-2020
5,orange,5,5,2022-04-14,23-05-2020
6,orange,5,5,2022-04-14,23-05-2020
7,orange,5,5,2022-04-14,23-05-2020
8,orange,5,5,2022-04-14,23-05-2020
9,orange,5,5,2022-04-14,23-05-2020
10,orange,5,5,2022-04-14,23-05-2020
11,orange,5,5,2022-03-26,23-05-2020
12,orange,5,5,2022-04-03,23-05-2020
13,orange,5,5,2022-04-03,23-05-2020
14,orange,5,5,2022-04-03,23-05-2020
15,orange,5,5,2022-04-03,23-05-2020
16,orange,5,5,2022-04-03,23-05-2020
17,orange,5,5,2022-04-03,23-05-2020
18,orange,5,5,2022-04-03,23-05-2020
19,orange,5,5,2022-04-03,23-05-2020
20,orange,5,5,2022-04-03,23-05-2020
21,orange,5,5,2022-04-03,23-05-2020
22,orange,5,5,2022-04-03,23-05-2020
23,orange,5,5,2022-04-03,23-05-2020
24,orange,5,5,2022-04-03,23-05-2020
25,orange,5,5,2022-04-03,23-05-2020
26,orange,5,5,2022-04-03,23-05-2020
27,orange,5,5,2022-04-03,23-05-2020
28,orange,5,5,2022-04-03,23-05-2020
29,orange,5,5,2022-04-03,23-05-2020
30,orange,5,5,2022-04-03,23-05-2020
31,orange,5,5,2022-04-03,23-05-2020
32,orange,5,5,2022-04-03,23-05-2020
33,orange,5,5,2022-04-03,23-05-2020
34,orange,5,5,2022-04-03,23-05-2020
35,orange,5,5,2022-04-03,23-05-2020
36,orange,5,5,2022-04-03,23-05-2020
37,orange,5,5,2022-04-03,23-05-2020
38,orange,5,5,2022-04-03,23-05-2020
39,orange,5,5,2022-04-03,23-05-2020
40,orange,5,5,2022-04-03,23-05-2020
41,orange,5,5,2022-04-03,23-05-2020
42,orange,5,5,2022-04-03,23-05-2020
43,orange,5,5,2022-04-03,23-05-2020
44,orange,5,5,2022-04-03,23-05-2020
45,orange,5,5,2022-04-03,23-05-2020
46,orange,5,5,2022-04-03,23-05-2020
47,orange,5,5,2022-04-03,23-05-2020
48,orange,5,5,2022-04-03,23-05-2020
49,orange,5,5,2022-04-03,23-05-2020
50,orange,5,5,2022-04-03,23-05-2020
51,orange,5,5,2022-04-03,23-05-2020
52,orange,5,5,2022-04-03,23-05-2020
53,orange,5,5,2022-04-03,23-05-2020
54,orange,5,5,2022-04-03,23-05-2020
55,orange,5,5,2022-04-03,23-05-2020
56,orange,5,5,2022-04-03,23-05-2020
57,orange,5,5,2022-04-03,23-05-2020
58,orange,5,5,2022-04-03,23-05-2020
59,orange,5,5,2022-04-03,23-05-2020
60,orange,5,5,2022-04-03,23-05-2020
61,orange,5,5,2022-04-03,23-05-2020
62,orange,5,5,2022-04-03,23-05-2020
63,orange,5,5,2022-04-03,23-05-2020
64,orange,5,5,2022-04-03,23-05-2020
65,orange,5,5,2022-04-03,23-05-2020
66,orange,5,5,2022-04-03,23-05-2020
67,orange,5,5,2022-04-03,23-05-2020
68,orange,5,5,2022-04-03,23-05-2020
69,orange,5,5,2022-04-03,23-05-2020
70,orange,5,5,2022-04-03,23-05-2020
71,orange,5,5,2022-04-03,23-05-2020
72,orange,5,5,2022-04-03,23-05-2020
73,orange,5,5,2022-04-03,23-05-2020
74,orange,5,5,2022-04-03,23-05-2020
75,orange,5,5,2022-04-03,23-05-2020
76,orange,5,5,2022-04-03,23-05-2020
77,orange,5,5,2022-04-03,23-05-2020
78,orange,5,5,2022-04-03,23-05-2020
79,orange,5,5,2022-04-03,23-05-2020
80,apple,5,5,2022-04-03,2022-10-12
81,apple,5,5,2022-04-03,2022-04-03
82,apple,5,5,2022-04-03,2022-03-03
83,apple,5,5,2022-04-03,2022-03-01
84,apple,5,5,2022-04-03,2022-03-01
85,apple,5,5,2022-04-03,2022-03-01
86,apple,5,5,2022-04-03,2022-10-01
87,apple,5,5,2022-04-03,2022-10-15
88,apple,5,5,2022-04-03,2022-10-15
89,apple,5,5,2022-04-03,2022-05-15
90,apple,5,5,2022-04-03,2022-04-15
91,apple,5,5,2022-04-03,2022-04-02
92,apple,5,5,2022-04-03,2022-04-02
93,apple,5,5,2022-04-03,2022-04-02
94,apple,5,5,2022-04-03,2022-04-02
95,apple,5,5,2022-04-03,2022-04-02
96,apple,5,5,2022-04-03,2022-04-02
